filename,exists,size_bytes,english_variant,english_variant_exists,japanese_variant,japanese_variant_exists,status,english_ocr_sample
anomaly-detection-outliers-en.webp,True,203658,anomaly-detection-outliers-en.webp,True,anomaly-detection-outliers-en-ja.webp,False,localized_variant,e e Anomaly Detection & Outliers (© sttisticathreshoia 1 ° 7 one 1 ° Finding unusual samples from a normal cluster avegoe Ny SS /e@ e ANOMALY (eed we: * pram e ‘e e e@ (ei Ans asreus Js \ / e een eammpies - Points beyond the threshold le eo
anomaly-detection-outliers-ja.webp,True,225342,anomaly-detection-outliers-ja-en.webp,False,anomaly-detection-outliers-ja.webp,True,localized_variant,"a ~ . ts ERT -ZOPDSANES RIS: RBRA KEROERT-SPSBANZ—Y (ERA) CFBL. TOPSOKECANKT-SERDIFHLET, 1a? F—REMOAA—TF (KR) @ Hla FRLEWE py KIRLELE | F—SOSMBICHLT “ex #8! ; a t t ER: FROLEWE | Bae EN eBEL, BEAD Teecorrcconannwl EY | BHR F—SEANMELT _ A ee"
appendix-agent-system-lineage-map-en.webp,True,178342,appendix-agent-system-lineage-map-en.webp,True,appendix-agent-system-lineage-map-en-ja.webp,False,localized_variant,From Generation to System Execution Agent system lineage map 0 Gr Alignment sieiste's @) ie —= RLHF control 1 Tool Use veces AB tool _ = RAG Grounding |... & goss! : @ gb Agent Planning }.--- 02 o--0 Plan - Act © (G)-2) Evaluation Safety os
appendix-agent-system-lineage-map-ja.webp,True,217596,appendix-agent-system-lineage-map-ja-en.webp,False,appendix-agent-system-lineage-map-ja.webp,True,localized_variant,"LLMId “5 Bea 5 “RATA 1 wh 2) BA, 2 ~— = alignment /RLHF #z2% 2 (yas ig tool use HORS © =A) RH © =Q RAG grounding BERS A : oa \th & Agent planning FREY) OE: Hi-22 OC evaluation / safety | FepmHse"
appendix-ai-15-stage-history-map-en.webp,True,196282,appendix-ai-15-stage-history-map-en.webp,True,appendix-ai-15-stage-history-map-en-ja.webp,False,localized_variant,C1) Symbolic Al Coa) v - 2) Expert Systems aie! v © Statistical ML eee y v . ° —_—O— © Feature ise g igi © Neural Networks S2E3- G50 v = © Deep Learning @ CNN Vision {oS Gass... ¥v © RNN Sequence -o-8 8 8. v © Attention ase----@ 8 == @ Tran
appendix-ai-15-stage-history-map-ja.webp,True,215618,appendix-ai-15-stage-history-map-ja-en.webp,False,appendix-ai-15-stage-history-map-ja.webp,True,localized_variant,"IW-Ib > F-9 > RH > AT—-W > BB > YIM > VWVFE-PYAThI oO be ay SAI e: ar, = | I+Z2/\-k 3) ‘ 2) 25h any [27° . ave ail [-a@ me 4) smameeet =1-3)) GO% a e ? ' ayb ee (6) um amen (02 nm « O es: Ru r 8) RNN #5) t i) gi a @: ol 10) Z 0+0°00 110) Tr"
appendix-ai-history-comic-turning-points-en.webp,True,219300,appendix-ai-history-comic-turning-points-en.webp,True,appendix-ai-history-comic-turning-points-en-ja.webp,False,localized_variant,e® @ (0 a WAIT Olea @ 1) SZ =O’ Perceptron XOR Backprop / SY 22.9.9.9 VE O a5 AlexNet Transformer
appendix-ai-history-comic-turning-points-ja.webp,True,171914,appendix-ai-history-comic-turning-points-ja-en.webp,False,appendix-ai-history-comic-turning-points-ja.webp,True,localized_variant,e° e ® | ® aT < (e) oO ra a <€ © e fe) . : oS So fe) Ee ® See a. <-.Ve-- Of a 1.N-t7hoy 2.XOR 3. REG EBRORERFR XORO#LS SBAyk9—-J(cAe —_ on Y=N r H-RU-I) 4. AlexNet 5. Transformer 6. Agent GPUtTO## h-7VAOER Y—WEH-KL—IL ®&SAgent
appendix-ai-main-relay-map-en.webp,True,203030,appendix-ai-main-relay-map-en.webp,True,appendix-ai-main-relay-map-en-ja.webp,False,localized_variant,"e e Al development is like a relay race. (5 omem: nono “y Generations of ideas and innovations Each era builds on the last, passes the baton, and opens the door to what comes next. drive Al forward—together. “BBB — tn probability deep learn"
appendix-ai-main-relay-map-ja.webp,True,198778,appendix-ai-main-relay-map-ja-en.webp,False,appendix-ai-main-relay-map-ja.webp,True,localized_variant,= Al=RORZE 4H 6 DOR CHEORNZING BMOERAMIBBITRKLTUWS en ee ne ne a | 1 2 3 5 6 probability \ / classic ML deep Transformer / RAG / multimodal =e learning LLM Agent AIGC vik ese / . PLZZ il eg oF) af 1 ZX em Q78 | Gai alall —_ Hoe i> eee EELEA
appendix-ai-paper-problem-solution-impact-chain-en.webp,True,266278,appendix-ai-paper-problem-solution-impact-chain-en.webp,True,appendix-ai-paper-problem-solution-impact-chain-en-ja.webp,False,localized_variant,"tts, ’ ; fi \ ° -X- Don’t memorize the paper name first; ack hen = = . ° ° chains, not in first understand which old problem it solved. < “pope; fats. —— / —___. @ old bottleneck @ new method © new capability © project impact What limited p"
appendix-ai-paper-problem-solution-impact-chain-ja.webp,True,206560,appendix-ai-paper-problem-solution-impact-chain-ja-en.webp,False,appendix-ai-paper-problem-solution-impact-chain-ja.webp,True,localized_variant,[=] BS Sb By NH > tik > eA > BE | BREA YD — | md) LWA fey] LURE ey HH RB\OVET | | (old bottleneck) (new method) (new capability) | (project impact) BBRAYKI-IO dient 4l | RVEFILE | REPBORME MR Backprop eeaEE — d PELTED | ARF NLP 2) | ® © 9 O
appendix-ai-project-lens-map-en.webp,True,197026,appendix-ai-project-lens-map-en.webp,True,appendix-ai-project-lens-map-en-ja.webp,False,localized_variant,"—— AI TIMELINE MAP -—— e e e epe,e Translate Paper History into Project Capabilities OF std = Math ML Training Transformer RAG / Agent Multimodal Foundation Baseline Loop Interface System Product ‘Add & Norm: User ye Xweb a (eEx)} (Aas Nom "
appendix-ai-project-lens-map-ja.webp,True,241566,appendix-ai-project-lens-map-ja-en.webp,False,appendix-ai-project-lens-map-ja.webp,True,localized_variant,"wv at AIFRETFTOVIPKAA CHROME as AJL se ot Bb ai OCS —> SAR RE TI EE) BKOBPE TOTO HEACMRIS : BROTL—7AI—€, FEBDUSREL. @ axoze @ moze © s21-7 — @ Transformer || @ ragyz-vee | @ wse-90 4Y9-Jxr-2z YATL FoOyob FARR / FA) | BB DA: BG: FG Data > Lo"
appendix-classic-ml-branch-map-en.webp,True,108758,appendix-classic-ml-branch-map-en.webp,True,appendix-classic-ml-branch-map-en-ja.webp,False,localized_variant,Classic ML builds stable modeling habits. 7™ fh) (6% AX AAA P(H|D) KY ‘an’ probabilistic iterative fitting margin tree split bagging / boosting Qa ll | =] Baseline + Evaluation
appendix-classic-ml-branch-map-ja.webp,True,163868,appendix-classic-ml-branch-map-ja-en.webp,False,appendix-classic-ml-branch-map-ja.webp,True,localized_variant,————* BA MLIGRELEETF UY YARBEES Bayes EM SVM Decision Tree Ensemble N14 Ati WRAL V-YVUAER BK IL—Ib PYtyvIN + BEWICEAS + PERRERE + BAV-IY CH FRED THA (+ PREFERS + RBREERS + RACHEERE + BRETSAM © BRLETUL- I WECREREHL + BMH + BST FCM + ARGO RR
appendix-continuous-learning-flywheel-en.webp,True,193468,appendix-continuous-learning-flywheel-en.webp,True,appendix-continuous-learning-flywheel-en-ja.webp,False,localized_variant,° Al Long-Term Learning Methodology A Three-Layer Continuous Learning Flywheel —————> _ Learn > Apply > Review > Improve > Repeat «———— Daily Progress | f Ral Weekly Review vu Learn a little each day. p----. . a = i L ra earn a little e i F
appendix-continuous-learning-flywheel-ja.webp,True,182880,appendix-continuous-learning-flywheel-ja-en.webp,False,appendix-continuous-learning-flywheel-ja.webp,True,localized_variant,"ot ats aes = Al Hei F BA iKiRO DI KT—IL BR. FJOYIFb,. RAMO=ABFREMAWICHELAS cl SADUT OBIE Ve | mac) BALLS \ NEBRABDM . “ Si BE5B LL, ey) ee as | ‘e BED ° i Eoitnattarer lan ‘ RB MR ALIS _————— as A oe MECSOaU, a — == RREMETS = (gs BERRY FOLI"
appendix-course-numbering-maintenance-check-en.webp,True,158870,appendix-course-numbering-maintenance-check-en.webp,True,appendix-course-numbering-maintenance-check-en-ja.webp,False,localized_variant,v= Documentation Engineering QA Board - Numbering Consistency ¥-@ All references to a display chapter must use the same number. ; ; ; 1) Display 6 Source 3] Sidebar 4) Image 5 ) Manifest 6 Build Chapter Number Directory Label Filename | Ent
appendix-course-numbering-maintenance-check-ja.webp,True,143714,appendix-course-numbering-maintenance-check-ja-en.webp,False,appendix-course-numbering-maintenance-check-ja.webp,True,localized_variant,"{=| aL 1-AZ2SBStHIORFF IVT a eS Se ee ee RM YV—A UT RN— > GRA > VOILA: RES—MELS display chapter source sidebar image manifest build BS directory label filename entry validation 4 oan | ( i ) “file”: ""chO3.md"" = BESORRE— TAWIBE—B RMBCHAS BRZ"
appendix-course-numbering-map-en.webp,True,154634,appendix-course-numbering-map-en.webp,True,appendix-course-numbering-map-en-ja.webp,False,localized_variant,"Chapter Numbering Map This appendix shows how learner-facing chapter numbers correspond to source directories. e Learner View (ocr rrnettnsetnnecsssecssees, fi Source Directories H Ci) Main track groups Course Map (Main Track) | are not dir"
appendix-course-numbering-map-ja.webp,True,172088,appendix-course-numbering-map-ja-en.webp,False,appendix-course-numbering-map-ja.webp,True,localized_variant,BBS CU-ATALIKVONMIG RORAOBBRCATAT TL ORV S11 OM dU Mle o—___—__————e B® docs/ch01 tac Bain se (a docs/chO2 muss Be o——__—_—_—————e B® docs/ch03_ #8 AYR-AYb —_______—_—_ docs/chO4. ay#t-#Yb F—-IME o—_————_—————e_ BB docs/chO5 = 7-98 KE BIE o
appendix-debug-mre-help-flow-en.webp,True,191708,appendix-debug-mre-help-flow-en.webp,True,appendix-debug-mre-help-flow-en-ja.webp,False,localized_variant,“ e e e 7 = Turn a Stuck Situation into a Solvable Problem = A supportive cycle to get help and keep learnin iv) . You're not DI PP Y 9 P p 1g Ke Small sen! alone. Clear Clear questions. steps lead to 4) Reproduce 2) Gather 3) Build 4) Capt
appendix-debug-mre-help-flow-ja.webp,True,239758,appendix-debug-mre-help-flow-ja-en.webp,False,appendix-debug-mre-help-flow-ja.webp,True,localized_variant,"(vevemaces) DESSe, BMS. HKCST MRCS SMaCaAS Be —BTOIS! © B_TH. MBI Tes — DEFECMRCESBITFS7O-— — OPRA-ATEK Ve © BWERAS ‘) BATS 2) GURERETAS 3) BNANES (4) IF-OVERDS 6 MIGLRBELNS (reproduce problem) (environment info) (minimal input) (error log)"
appendix-faq-confidence-reset-map-en.webp,True,221802,appendix-faq-confidence-reset-map-en.webp,True,appendix-faq-confidence-reset-map-en-ja.webp,False,localized_variant,"ax T e e e , = Turn vague anxiety into the next action. .- : ——— ae math | review chapter = anxiety | Revisit key ideas rv) = sidence y, and build clarity. = cow oO Sey GPU + + run minimal demo anxiety b Breathe Pra! Test the core idea g@ 4"
appendix-faq-confidence-reset-map-ja.webp,True,208470,appendix-faq-confidence-reset-map-ja-en.webp,False,appendix-faq-confidence-reset-map-ja.webp,True,localized_variant,"; _. fm] Shey 4= = [EAPYULERREROTHUCAITS = FRSBSUOGW. BIN SPALIEHS. BAIS RR... sey : Bees 2 + \ oy Y Co BHEPSLMURES ae x? ae 4 inimal d | GPU minimal demo Has math anxiety UE + ome INEKBUT, BREODSS anxiety SF SS ae) = a CD BITES om nfidence"
appendix-faq-decision-tree-en.webp,True,265586,appendix-faq-decision-tree-en.webp,True,appendix-faq-decision-tree-en-ja.webp,False,localized_variant,"- 5 eginner It's normal to feel unsure. Your question is valid. Youlremotialone! 3 Let’s find the right answer together. toe je @ ‘ : ) Y)\ Lw “ a | ‘vex When you feel unsure, | S on = “\ii/ ""first identify the t = ye fara Y Start Here — Vv"
appendix-faq-decision-tree-ja.webp,True,229364,appendix-faq-decision-tree-ja-en.webp,False,appendix-faq-decision-tree-ja.webp,True,localized_variant,"SY ~ > [=} x AN = te! ven yese, 5 7 . FAT BEC ! , BRDORRICEUF-VOSFLYILT. MROEVKERDITES! ov € & 1 ee 20F 4 3 OO yorzr7 hoor © ) ax+bx+e=0 | . LOD BMEFD BIBLES + + F-VORVAEERLES 1D “ST TOOFRMRPRHE + EOAPHER ELBE b BLES FEyPLED t2 GPU /iRIRIR "
appendix-hardware-cloud-decision-tree-en.webp,True,242386,appendix-hardware-cloud-decision-tree-en.webp,True,appendix-hardware-cloud-decision-tree-en-ja.webp,False,localized_variant,"e i First the task. (2) Irst assess tne task, then decide whether a What are you trying to do? F . to buy a GPU. ying Task type quick guide lal Data analysis / notebooks att Usually no GPU needed Core idea: ( = ) f | ( ) Traditional ML (e.g"
appendix-hardware-cloud-decision-tree-ja.webp,True,216862,appendix-hardware-cloud-decision-tree-ja-en.webp,False,appendix-hardware-cloud-decision-tree-ja.webp,True,localized_variant,"we a — \Y SY \ N—-FULPCAIFVEDEVA -——— EFISAPRZVERRHS ——-+ rTey FH: atte: GS, BEGHURMKT Yb (NSYADAM) FURR ee (ranaan} m | V5 ol a) Gi y XEY AKL-Y GPU RRORE 2 FURFALEBP F-FREFIO FB -HRO BRIE BLU AI- ©} PIE BILEWCT D? FORRES RE BSR BR Cee MROL"
appendix-hardware-local-cloud-api-cost-map-en.webp,True,228010,appendix-hardware-local-cloud-api-cost-map-en.webp,True,appendix-hardware-local-cloud-api-cost-map-en-ja.webp,False,localized_variant,"° e e . Choose the right route first: Local, Cloud GPU, or API-first Match your goal and stage to the right resource. Start simple, learn faster, spend smarter. @ Local laptop © Cloud GPu © Apt-first Your App Model Service we .... > - GB En"
appendix-hardware-local-cloud-api-cost-map-ja.webp,True,215404,appendix-hardware-local-cloud-api-cost-map-ja-en.webp,False,appendix-hardware-local-cloud-api-cost-map-ja.webp,True,localized_variant,"= N at aes |, ———— lc task IRS -—_ gp kerr he oy BMDS GPU EHDSU. G PUEWTE (task) (CHDET. MBBGEBRNS WOES BWICASBERIE5. @ local laptop ©@ cloud GPU © API-first Dea “ote @ azk (vy) @ cost# (vy) G Mii cost & iy) & setup ie iv) O setup PDH [v) 4"
appendix-image-production-pipeline-map-en.webp,True,170972,appendix-image-production-pipeline-map-en.webp,True,appendix-image-production-pipeline-map-en-ja.webp,False,localized_variant,Image Asset Production Pipeline From Gap Detection to Validated Release rr as _——E fi ff ™ (i. ) f_ @ content [2] visual 8 image2 [4] generate 5 | insert GQ ete manifest validate 8 build | 9] commit gap scan intent prompt PNG markdown progr
appendix-image-production-pipeline-map-ja.webp,True,214004,appendix-image-production-pipeline-map-ja-en.webp,False,appendix-image-production-pipeline-map-ja.webp,True,localized_variant,5 aN Ss — CONTENT PRODUCTION CONSOLE am | —ABRKORE DSER BK COIL 7 RELEASE PIPELINE \ HRAEORPENT TITY / @ content gap scan | | @) visual intent © image2 prompt | | E generate PNG | | © insert markdown | | © update manitestirogress | | GD) va
appendix-job-portfolio-storyline-map-en.webp,True,207006,appendix-job-portfolio-storyline-map-en.webp,True,appendix-job-portfolio-storyline-map-en-ja.webp,False,localized_variant,"PORTFOLIO STORYLINE MAP N N om T e e e f ili > =A urn a project into evidence of capability (© . . aA that an interviewer can understand / © jeeee _—_—_—__——_ / ’ i target role user problem technical metrics, failure README, interview | | ("
appendix-job-portfolio-storyline-map-ja.webp,True,202876,appendix-job-portfolio-storyline-map-ja-en.webp,False,appendix-job-portfolio-storyline-map-ja.webp,True,localized_variant,"wile JS | | — * Al Rit R-KIA*ZUVADAZRK—-U-JTy FOYLIbe, BEEICRDSRARWA agai cse) { RRBAET | | BReRtS | paved y ite. Seen ay Sa target role user technical metrics / failure README/ __ interview \ly OL a problem iA solution > result > analysis "
appendix-job-prep-funnel-en.webp,True,247852,appendix-job-prep-funnel-en.webp,True,appendix-job-prep-funnel-en-ja.webp,False,localized_variant,° ° ° “= — Turn Learning Into Application-Ready Work & A 7-Step Pipeline to Build a Strong Portfolio for Al Jobs = YOUR LEARNING INPUTS Courses Tutorials Notes Books Practice & Labs Communities aS Zz ee a @ Cor Job Targeting |---------- e D
appendix-job-prep-funnel-ja.webp,True,266316,appendix-job-prep-funnel-ja-en.webp,False,appendix-job-prep-funnel-ja.webp,True,localized_variant,"FR hiss 9) Be 7S (Fon is) Be Foo“ - Ce \ weaite || sq, pend ES, 7 Ib sac ee re \ iw <)> | mat || mean |) Ava I 1 ehEAD oe - ial in | @ = | a) @ | @ > oye | a= THe NT ee [ abezcy7, nae 7) | aecer? |... a ro pBAPOP Ly = ca ta— B® 6 ( y RAR RO"
appendix-learning-paper-project-notes-loop-en.webp,True,165936,appendix-learning-paper-project-notes-loop-en.webp,True,appendix-learning-paper-project-notes-loop-en-ja.webp,False,localized_variant,_» What you read should flow back ~— re e me into projects and the knowledge base. —<—<$— $$ - —< \ - paper J —— 6) aL \ ihe if f2) Knowled d («) i nex nowledge code 1 llection-only | question N Accumulation ar experiment { re a at I i ta a
appendix-learning-paper-project-notes-loop-ja.webp,True,167932,appendix-learning-paper-project-notes-loop-ja-en.webp,False,appendix-learning-paper-project-notes-loop-ja.webp,True,localized_variant,"he Yt Ley Spe 2 fo 1) =H Us BOR Pi fi. mime IL | reading e/a a SY axeRD | BARABE ZO IbE 6) 4 is yy, = 2) >» SUR ICRL CBM. / next > Q. / code ROMVEFUICIRIFS question \ : | experiment \ @& < ae PREALTVSET. ROBWA : BMLTHS = A. | | J ; a \ _ ws"
appendix-llm-to-agent-evolution-timeline-en.webp,True,81808,appendix-llm-to-agent-evolution-timeline-en.webp,True,appendix-llm-to-agent-evolution-timeline-en-ja.webp,False,localized_variant,pretraining instruction tuning RAG/tools Agent system \ 6 F H o> @ aes) trace ss BG i= safety ' — I > ean — =
appendix-llm-to-agent-evolution-timeline-ja.webp,True,102730,appendix-llm-to-agent-evolution-timeline-ja-en.webp,False,appendix-llm-to-agent-evolution-timeline-ja.webp,True,localized_variant,Sa+e fmFa-ly7 RAG /'Y—Jb Agent system ae eer cs oi @ |e anes > p * » [ome mx | | lL ~ | is i @<09000 4 ; . ao. . tokens training
appendix-multimodal-aigc-lineage-map-en.webp,True,236672,appendix-multimodal-aigc-lineage-map-en.webp,True,appendix-multimodal-aigc-lineage-map-en-ja.webp,False,localized_variant,"Appendix: Al History - Multimodal Systems F I l Voi i Creative Workfl rom Text to Images, Voice, Video, and Creative Workflow —————*_ A lineage map of key milestones that built today’s multimodal Al generation and workflow. @——— CNN Vision "
appendix-multimodal-aigc-lineage-map-ja.webp,True,232062,appendix-multimodal-aigc-lineage-map-ja-en.webp,False,appendix-multimodal-aigc-lineage-map-ja.webp,True,localized_variant,"i =, VIVFE—FIVE AIGC ORB ais BA ALANFYSHR- SR HH-wI-F7IO-AGMNSTiN CNN CLIP Diffusion Stable EET a4 VILFE-IW vision Diffusion (video generation) FE7—-J7J7O-— HREBRT SIR ERCBREORS | JAAD SHIRE LR | BRAHREROR BMEBOIY FLYIN | RHDSMRETEMA | | | "
appendix-neural-network-waves-timeline-en.webp,True,392712,appendix-neural-network-waves-timeline-en.webp,True,appendix-neural-network-waves-timeline-en-ja.webp,False,localized_variant,"THE RISE, VALLEYS, AND REVIVAL OF NEURAL NETWORKS Progress is not smooth. It comes in waves—driven by ideas, limited by bottlenecks, and revived when methods, data, compute, and engineering mature. a WAVE 1 =; ———__ WAVE2 ————— ———_ WAVES —"
appendix-neural-network-waves-timeline-ja.webp,True,298196,appendix-neural-network-waves-timeline-ja-en.webp,False,appendix-neural-network-waves-timeline-ja.webp,True,localized_variant,“4 — — 2 — Ba) C2 = \¥ — _— 4 =sa-FIARIEI-F SDORE AIOE BE RRL. FEL. BUERLEOD © seem O (2) 3] (4) 5] fs) ne S00 es wrens 1958 1969 1986 1994 1997 2006 ResNet oa Perceptron XOR limitation Backprop vanishing LSTM RBM / DBN eae eam aA apy Roar
appendix-nlp-llm-lineage-map-en.webp,True,218446,appendix-nlp-llm-lineage-map-en.webp,True,appendix-nlp-llm-lineage-map-en-ja.webp,False,localized_variant,NLP to LLM Lineage Map How text understanding and generation evolved toward large language models tokens bss embeddings @ @ context window attention pretraining SD text as discrete units @°@:: distributed representations @ @ surrounding inf
appendix-nlp-llm-lineage-map-ja.webp,True,258242,appendix-nlp-llm-lineage-map-ja-en.webp,False,appendix-nlp-llm-lineage-map-ja.webp,True,localized_variant,"—_ ‘ —_ y= . FEAKYAT > y cD AKVRIDRMRET INES VER DED h-FYPSHORA, MMAR, SHFAB\— RAIPREHICRIMON, AT-II SEF IN Bnkkin BEEERTO LYIA-FHRAHERAL BRGHOCEAIS BOER tHoBbe ARBI-NATO RMSNKBBHWE RIEWTRI TET FIA-IRENCERTS TOT RERKEO Transformer A*, BHFBC"
appendix-project-quick-reference-map-en.webp,True,217642,appendix-project-quick-reference-map-en.webp,True,appendix-project-quick-reference-map-en-ja.webp,False,localized_variant,"Se > ease OOOO ., 1 Environment x | ; AI PROJECT CONTROL PANEL 2 | Baseline > ‘ Commands aa | : Selection g When working on = @ Reproducible setup a project, @ Choose a strong baseline @ Dependencies locked \ h h | @ Match task & data scale"
appendix-project-quick-reference-map-ja.webp,True,217864,appendix-project-quick-reference-map-ja-en.webp,False,appendix-project-quick-reference-map-ja.webp,True,localized_variant,"4 ny) ; — 2 & rai 5 AIFOYIAKSRVY cS = == WoKSEF CCS HR NS o---| E evns 9 O&O xcs S @ Exc |--- | ° ° GR eeavek | | DB s-254 72 | |) wane CQ szes ¢ bash * accuracy * labels > + Python a bascling ~ * precision Ss * loss * pip S aimplemodalls.,"
appendix-quick-ref-debug-index-map-en.webp,True,186548,appendix-quick-ref-debug-index-map-en.webp,True,appendix-quick-ref-debug-index-map-en-ja.webp,False,localized_variant,"Me ) ©) TROUBLESHOOTING INDEX MAP | Wisi piicciets sue ect, Da \ Z, = GD environment Q @ bata = G@ rrainine “i 2) Python version Data format @ Loss not decreasing © Dependencies A) Missing fields a) Learning rate CUDA / driver © Train / val"
appendix-quick-ref-debug-index-map-ja.webp,True,249366,appendix-quick-ref-debug-index-map-ja-en.webp,False,appendix-quick-ref-debug-index-map-ja.webp,True,localized_variant,~w = ¥ ~ nr. AIFOYITk SREITIMGRS| .——— GD ik @ s-7 ep Ca | O Re RON—yar _ Sy | O HMB 2ur=Y7 © APis—- BEE O ane m CS) | © xamm-uy—x © Raw - Ree SnevReOs <A! Ee training ° ii rolect be | O lossosiis - wR om O HmmoRME Gio BeBe Ur pater © | ote
appendix-resource-bottleneck-priority-map-en.webp,True,177072,appendix-resource-bottleneck-priority-map-en.webp,True,appendix-resource-bottleneck-priority-map-en-ja.webp,False,localized_variant,"Ch menue FIRST IDENTIFY THE BOTTLENECK, e @ THEN CHOOSE THE RESOURCE — DON’T HOARD RESOURCES. saan @ Diagnose first pag eens eee aa reese sae a @ Use only what Q IDENTIFY BOTTLENECK ' 0) Don't grab resources @ Faster progress you need By ra"
appendix-resource-bottleneck-priority-map-ja.webp,True,181502,appendix-resource-bottleneck-priority-map-ja-en.webp,False,appendix-resource-bottleneck-priority-map-ja.webp,True,localized_variant,"J-RERORNLRYIBAE® YIJ-ZABRORNLAYAIBABVIT “O- UV REROSHIC, STRAY IEBETS 5o) bottleneck 3B |< © aeemsxenanean | f & eee VY AEM | ° ee), o —e (*) vx & Se is a-F | ast | RR Fayr7k {iz concept code math engineering project | communication 4 4 L 4"
appendix-resource-selection-funnel-en.webp,True,119794,appendix-resource-selection-funnel-en.webp,True,appendix-resource-selection-funnel-en-ja.webp,False,localized_variant,Lesson 1 ) Main course first >) Start with the main course content. eo 1 for i in range(n): : og: 2 total += data[i] - & Identify the specific 3 BGESBEerea Find the exact problem 4 break or concept holdin: bottleneck 5 return total ou ce. &
